cityId,cultureScore,goldTotal,productionTotal,goldScore,scienceTotal,cityScore,cultureTotal,productionScore,foodScore,cityTotal,foodTotal,scienceScore
281,1,332.39999999999975,464.20000000000016,0,201.51000000000005,1,265.23,0,1,36,560.0,1
282,1,359.84999999999974,154.9499999999999,0,175.37999999999988,0,202.68000000000012,0,0,24,384.0,0
283,0,307.75,103.0,0,175.60999999999999,0,137.16,0,0,13,383.0,0
284,0,249.98,243.09999999999982,0,186.09,0,170.26000000000002,0,1,25,533.0,0
285,0,272.75,166.74999999999994,0,164.41000000000003,0,149.02000000000004,0,0,13,318.0,0
286,0,289.5,197.60000000000002,0,172.55999999999997,0,157.29999999999998,0,0,20,389.0,0
287,0,274.70000000000005,139.95000000000002,0,186.01999999999995,0,148.06,0,0,18,409.0,0
288,0,318.79999999999995,142.50000000000003,0,174.69999999999996,0,148.85000000000002,0,0,19,416.0,0
289,0,264.90000000000003,140.25000000000003,0,174.17999999999998,0,147.92000000000004,0,0,17,424.0,0
290,0,332.8499999999998,221.79999999999984,0,172.20999999999987,0,162.54000000000002,0,0,22,361.0,0
291,1,420.20000000000005,512.4500000000002,1,217.44,1,176.74000000000004,1,1,41,755.0,1
292,1,366.75,596.4000000000001,1,194.53000000000006,1,174.46000000000006,1,0,32,359.0,0
293,0,365.0,556.25,1,196.56000000000003,0,166.16000000000008,1,0,30,276.0,0
294,0,584.45,382.6,1,192.2,0,113.11,0,1,30,522.0,0
295,1,393.5999999999999,541.6000000000001,1,193.0,1,191.93000000000006,1,0,33,360.0,0
296,1,304.75,525.65,0,185.69999999999993,1,224.4700000000003,1,0,31,387.0,0
297,1,301.0,702.4999999999999,0,196.98999999999987,1,197.6199999999999,1,1,36,548.0,0
298,0,355.6999999999998,539.3,0,178.68999999999997,0,164.21,1,0,29,367.0,0
299,0,399.9999999999998,454.50000000000017,1,218.79000000000002,1,161.89999999999992,0,0,33,436.0,1
300,1,340.80000000000007,444.2000000000002,0,208.72999999999996,1,217.65999999999994,0,1,37,581.0,1
301,1,400.0,528.75,1,299.3700000000001,1,180.8400000000001,1,0,33,228.0,1
302,1,303.75,536.45,0,273.04999999999984,1,209.07000000000016,1,0,35,411.0,1
303,0,346.85000000000014,72.89999999999999,0,196.07000000000002,0,107.77999999999996,0,1,20,598.0,0
304,0,282.00000000000017,204.7999999999998,0,162.41999999999993,0,153.57000000000005,0,0,16,302.0,0
305,0,258.25,196.45,0,166.61,0,154.36,0,0,14,335.0,0
306,0,244.75,137.10000000000002,0,203.79000000000002,0,165.68000000000004,0,1,24,783.0,1
307,0,247.62999999999994,146.55000000000015,0,203.84,0,158.12000000000003,0,1,24,744.0,1
308,0,263.0,216.5,0,172.05999999999997,0,161.19999999999996,0,0,19,355.0,0
309,0,292.25,196.64999999999992,0,158.37000000000003,0,149.90000000000006,0,0,13,285.0,0
310,0,267.5,112.6,0,178.55999999999997,0,132.10000000000008,0,0,13,357.0,0
311,0,325.85,78.59999999999998,0,162.95999999999998,0,87.48000000000005,0,0,8,301.0,0
312,0,272.65000000000003,174.8,0,167.59,0,152.44000000000005,0,0,17,393.0,0
313,1,251.25,103.99999999999996,0,197.6,0,186.8500000000001,0,1,24,644.0,0
314,0,259.5,180.0499999999999,0,154.42000000000007,0,148.16000000000008,0,0,9,258.0,0
315,0,254.5,125.65,0,170.55999999999997,0,144.10000000000002,0,0,11,403.0,0
316,0,268.5,162.04999999999998,0,187.05999999999997,0,153.59999999999997,0,0,21,414.0,0
317,0,253.75,102.99999999999999,0,173.39999999999998,0,135.54000000000002,0,0,10,415.0,0
318,0,268.5,168.04999999999998,0,172.55999999999997,0,153.29999999999998,0,0,16,367.0,0
319,0,280.0,108.64999999999999,0,181.7,0,128.86000000000004,0,0,14,413.0,0
320,0,256.75,185.24999999999997,0,165.91000000000003,0,154.12,0,0,15,385.0,0
321,1,559.5500000000001,521.0,1,217.0000000000001,1,184.7000000000001,1,0,36,360.0,1
322,0,497.70000000000005,571.9999999999999,1,203.74999999999997,0,98.71999999999997,1,0,29,392.0,1
323,1,351.3500000000001,564.3500000000001,0,194.28999999999988,1,176.20000000000002,1,0,35,461.0,0
324,1,344.04999999999995,386.54999999999984,0,181.19,1,249.84000000000003,0,0,32,480.0,0
325,1,325.59999999999985,521.5500000000002,0,223.80999999999995,1,218.62000000000003,1,1,40,683.0,1
326,0,502.59999999999997,396.70000000000005,1,192.0500000000001,0,103.74000000000005,0,0,27,466.0,0
327,0,428.0999999999996,447.4000000000003,1,187.09,0,168.1199999999999,0,0,28,348.0,0
328,0,377.19999999999993,505.3499999999997,1,194.35999999999984,0,105.65999999999994,1,0,26,448.0,0
329,1,312.9,650.0000000000001,0,286.66999999999985,1,175.33999999999995,1,1,38,505.0,1
330,1,445.1500000000001,726.9499999999998,1,170.57999999999998,0,184.49000000000012,1,0,28,294.0,0
331,1,351.3999999999999,542.2,0,247.40999999999988,1,352.88,1,0,40,497.0,1
332,0,347.24999999999994,101.4,0,196.28,0,107.85999999999996,0,1,20,595.0,0
333,0,254.5,112.6,0,172.55999999999997,0,135.3,0,0,9,363.0,0
334,0,286.5,177.55000000000004,0,178.2,0,156.28000000000003,0,0,22,437.0,0
335,0,272.0,192.10000000000002,0,175.79999999999998,0,161.27999999999997,0,0,20,392.0,0
336,0,257.25,242.90000000000006,0,161.21000000000004,0,155.68000000000012,0,0,13,270.0,0
337,0,254.5,197.54999999999998,0,167.05999999999997,0,150.00000000000003,0,0,13,331.0,0
338,0,275.5,174.04999999999998,0,181.55999999999997,0,153.29999999999998,0,0,19,384.0,0
339,0,263.5,204.85000000000005,0,158.32000000000005,0,154.34,0,0,14,294.0,0
340,0,261.5,160.99999999999997,0,151.62000000000012,0,143.00000000000003,0,0,8,226.0,0
341,0,279.85,220.65000000000003,0,171.84999999999985,0,159.89000000000004,0,0,19,348.0,0
342,0,315.0000000000003,251.35000000000014,0,156.52000000000004,0,150.92000000000002,0,0,14,203.0,0
343,0,267.25,188.95,0,168.11,0,155.26,0,0,17,356.0,0
344,0,263.55,203.50000000000017,0,150.22000000000014,0,147.76000000000002,0,0,12,192.0,0
345,0,437.39999999999986,211.9999999999999,1,170.02999999999986,0,151.96,0,0,22,328.0,0
346,0,338.55000000000007,239.20000000000016,0,175.71999999999986,0,166.95000000000002,0,0,27,450.0,0
347,0,322.5,164.65,0,174.11999999999998,0,153.95999999999998,0,0,21,411.0,0
348,0,303.44999999999993,196.89999999999998,0,150.22000000000014,0,146.72000000000003,0,0,12,201.0,0
349,0,268.5999999999999,103.54999999999997,0,184.44,0,143.80000000000004,0,0,17,461.0,0
350,0,385.2999999999998,502.04999999999995,1,225.97000000000003,1,124.22999999999998,1,1,32,769.0,1
351,0,323.1999999999999,500.9999999999999,0,286.05,1,152.40999999999994,1,1,35,593.0,1
352,0,365.2999999999998,423.15,1,325.19,1,129.74999999999994,0,1,33,767.0,1
353,1,657.3000000000002,416.85000000000014,1,176.37999999999997,0,172.94999999999993,0,0,28,353.0,0
354,1,299.5,494.09999999999985,0,211.96999999999989,1,173.21999999999997,1,1,35,618.0,1
355,0,885.0,648.8500000000001,1,330.26,1,140.22999999999996,1,1,37,596.0,1
356,0,372.15000000000003,516.75,1,203.00999999999996,1,164.42000000000007,1,0,36,486.0,1
357,1,436.75,673.0,1,175.1099999999999,0,236.3799999999999,1,0,30,282.0,0
358,1,359.55000000000007,563.4499999999998,0,191.7399999999999,1,172.77999999999997,1,0,34,468.0,0
359,0,433.80000000000007,469.69999999999993,1,182.2399999999999,0,106.91000000000003,0,0,21,332.0,0
360,1,369.25,513.95,1,260.56000000000006,1,288.0799999999999,1,0,38,426.0,1
361,0,358.75,565.0,0,181.3399999999999,0,152.04000000000002,1,0,25,260.0,0
362,0,260.3999999999999,156.10000000000002,0,176.01999999999998,0,154.76000000000005,0,0,17,443.0,0
363,0,254.5,207.54999999999998,0,168.55999999999997,0,150.9,0,0,14,340.0,0
364,1,270.0,222.04999999999993,0,183.94,0,210.44999999999987,0,0,29,489.0,0
365,0,256.5,187.04999999999998,0,166.26,0,156.34000000000003,0,0,16,398.0,0
366,0,254.5,197.60000000000002,0,191.26999999999998,0,157.29999999999998,0,0,21,393.0,0
367,0,256.3399999999999,137.35000000000005,0,177.79999999999998,0,147.74,0,0,15,438.0,0
368,0,252.75,207.35000000000008,0,177.01999999999998,0,163.56000000000003,0,0,21,452.0,0
369,0,267.75,108.0,0,173.10999999999999,0,135.66000000000003,0,0,13,425.0,0
370,0,329.70000000000005,150.99999999999994,0,161.21000000000004,0,145.18000000000012,0,0,13,264.0,0
371,0,265.25,188.99999999999994,0,163.47,0,150.32000000000002,0,0,14,318.0,0
372,0,257.5,199.79999999999993,0,158.22000000000003,0,149.12000000000012,0,0,11,273.0,0
373,0,257.25,138.9,0,161.21000000000004,0,138.8800000000001,0,0,7,332.0,0
374,0,296.35999999999996,72.89999999999999,0,198.16,0,109.01999999999997,0,1,20,627.0,0
375,0,259.0,139.15,0,164.76000000000005,0,144.04000000000008,0,0,9,293.0,0
376,0,290.75,75.44999999999999,0,187.08,0,102.33999999999993,0,1,16,512.0,0
377,0,308.70000000000005,138.9,0,161.21000000000004,0,138.8800000000001,0,0,10,286.0,0
378,0,265.37999999999994,187.6,0,176.23999999999998,0,161.08000000000004,0,0,21,432.0,0
379,0,258.25,201.6,0,158.67000000000004,0,150.26000000000002,0,0,12,310.0,0
380,0,359.0,465.6499999999999,0,289.87999999999994,0,102.34000000000003,0,0,26,390.0,1
381,0,511.5000000000003,676.9999999999998,1,172.53,0,166.67999999999998,1,0,29,343.0,0
382,1,318.30000000000007,543.9000000000001,0,264.09,1,172.80999999999997,1,1,38,1098.0,1
383,1,468.0,614.2499999999999,1,188.86,1,369.9100000000001,1,0,39,484.0,0
384,0,366.25,616.25,1,277.87999999999994,0,102.24000000000005,1,0,28,383.0,1
385,1,530.3500000000004,591.6500000000001,1,208.49999999999994,1,171.25,1,0,38,415.0,1
386,1,527.6000000000003,768.8000000000001,1,196.46000000000006,1,247.97000000000023,1,1,41,510.0,0
387,1,322.0499999999997,396.4000000000001,0,196.60999999999987,1,197.70000000000005,0,1,35,545.0,0
388,1,304.75,647.5499999999995,0,178.14000000000001,0,289.3299999999999,1,0,29,345.0,0
389,0,352.04999999999984,501.3500000000002,0,220.22999999999988,1,124.43999999999996,1,1,31,560.0,1
390,0,304.25,484.5499999999999,0,188.6399999999999,0,166.93999999999997,0,0,30,432.0,0
391,1,427.0999999999998,538.3000000000001,1,259.12,1,187.13,1,0,40,498.0,1
392,0,298.07999999999976,101.94999999999997,0,188.77,0,122.34,0,1,19,545.0,0
393,0,279.50000000000006,172.6,0,174.45999999999998,0,154.00000000000003,0,0,20,432.0,0
394,0,254.5,223.0,0,172.55999999999997,0,161.49999999999997,0,0,18,387.0,0
395,0,254.0,230.35,0,173.11999999999998,0,161.66,0,0,18,407.0,0
396,0,247.70999999999998,75.75,0,198.77999999999997,0,109.37999999999998,0,1,17,703.0,0
397,1,259.25,191.69999999999987,0,162.56999999999994,0,202.6499999999999,0,0,16,287.0,0
398,0,337.8000000000002,211.84999999999988,0,177.61999999999986,0,164.57999999999996,0,0,26,386.0,0
399,0,279.0,188.59999999999988,0,152.3200000000001,0,153.44000000000005,0,0,12,226.0,0
